tattoo,date,count
19988,2019-04-20,2
27718,2019-04-20,3
19988,2019-04-20,4
27718,2019-04-20,2
19988,2019-04-20,2
27718,2019-04-20,2
19988,2019-04-20,1
27718,2019-04-20,2
19988,2019-04-20,2
27718,2019-04-20,3
19988,2019-04-20,1
27718,2019-04-20,2
19988,2019-04-20,1
27718,2019-04-20,5
19988,2019-04-20,1
27718,2019-04-20,1
19988,2019-04-20,6
27718,2019-04-20,1
19988,2019-04-20,1
27718,2019-04-20,2
19988,2019-04-20,1
27718,2019-04-20,4
19988,2019-04-20,5
27718,2019-04-20,2
19988,2019-04-20,2
27718,2019-04-20,3
19988,2019-04-20,1
27718,2019-04-20,1
19988,2019-04-20,2
27718,2019-04-20,3
19988,2019-04-20,1
27718,2019-04-20,1
19988,2019-04-20,1
27718,2019-04-20,2
19988,2019-04-20,4
27718,2019-04-20,1
19988,2019-04-20,5
27718,2019-04-20,2
19988,2019-04-20,4
27718,2019-04-20,2
19988,2019-04-20,3
27718,2019-04-20,2
19988,2019-04-20,58
38508,2019-04-20,2
19988,2019-04-20,1
38508,2019-04-20,1
19988,2019-04-20,2
38508,2019-04-20,1
19988,2019-04-20,2
38508,2019-04-20,2
19988,2019-04-20,1
38508,2019-04-20,166
38058,2019-04-20,1
38508,2019-04-20,2
25168,2019-04-20,1
38508,2019-04-20,2
25168,2019-04-20,1
38508,2019-04-20,2
25168,2019-04-20,3
38058,2019-04-20,1
25168,2019-04-20,185
70568,2019-04-20,2
25168,2019-04-20,1
70568,2019-04-20,198
70578,2019-04-20,199
30234,2019-04-20,14
30254,2019-04-20,1
30234,2019-04-20,1
30254,2019-04-20,1
30234,2019-04-20,7
30254,2019-04-20,1
30234,2019-04-20,13
30254,2019-04-20,2
30234,2019-04-20,54
25168,2019-04-20,1
30234,2019-04-20,21
25168,2019-04-20,1
30234,2019-04-20,50
88068,2019-04-20,1
30234,2019-04-20,10
88068,2019-04-20,33
30234,2019-04-20,4
30254,2019-04-20,1
30234,2019-04-20,7
30274,2019-04-20,1
30234,2019-04-20,7
88068,2019-04-20,163
84348,2019-04-20,167
71148,2019-04-20,1
84348,2019-04-20,34
84358,2019-04-20,1
48048,2019-04-20,12
84358,2019-04-20,1
48048,2019-04-20,45
80318,2019-04-20,1
48048,2019-04-20,140
86568,2019-04-20,9
48048,2019-04-20,1
86568,2019-04-20,1
48048,2019-04-20,1
86568,2019-04-20,81
25168,2019-04-20,1
86568,2019-04-20,106
80368,2019-04-20,9
89648,2019-04-20,200
80368,2019-04-20,3
80318,2019-04-20,1
89648,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,1
80368,2019-04-20,11
80318,2019-04-20,1
80368,2019-04-20,16
80318,2019-04-20,2
80368,2019-04-20,2
80318,2019-04-20,5
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,1
80368,2019-04-20,3
25168,2019-04-20,1
80318,2019-04-20,2
80368,2019-04-20,12
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,2
80368,2019-04-20,2
80318,2019-04-20,1
80368,2019-04-20,5
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,2
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,3
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,2
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,6
80318,2019-04-20,1
88068,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,1
80318,2019-04-20,2
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,2
80368,2019-04-20,3
80318,2019-04-20,1
80368,2019-04-20,3
80318,2019-04-20,5
80368,2019-04-20,1
80318,2019-04-20,1
80368,2019-04-20,9
80518,2019-04-20,11
80568,2019-04-20,1
80368,2019-04-20,1
80518,2019-04-20,7
80568,2019-04-20,1
88068,2019-04-20,1
80568,2019-04-20,1
80368,2019-04-20,1
80518,2019-04-20,8
80368,2019-04-20,1
80518,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,2
80628,2019-04-20,1
80518,2019-04-20,7
80568,2019-04-20,3
80518,2019-04-20,25
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,2
80518,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,1
88068,2019-04-20,1
80518,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,6
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,11
80568,2019-04-20,1
80518,2019-04-20,6
80568,2019-04-20,2
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,1
80568,2019-04-20,1
80628,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,7
80568,2019-04-20,2
80518,2019-04-20,1
80568,2019-04-20,2
80518,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,1
80568,2019-04-20,3
80518,2019-04-20,1
80568,2019-04-20,1
80518,2019-04-20,4
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,3
80568,2019-04-20,1
80518,2019-04-20,2
80568,2019-04-20,1
80518,2019-04-20,6
80568,2019-04-20,1
80518,2019-04-20,3
80568,2019-04-20,4
80518,2019-04-20,2
80568,2019-04-20,1
80628,2019-04-20,1
80518,2019-04-20,7
80628,2019-04-20,1
80518,2019-04-20,1
80628,2019-04-20,1
80518,2019-04-20,2
30084,2019-04-20,1
80518,2019-04-20,2
30004,2019-04-20,2
30084,2019-04-20,1
30004,2019-04-20,11
30084,2019-04-20,1
30004,2019-04-20,4
30084,2019-04-20,1
30004,2019-04-20,1
30084,2019-04-20,1
30004,2019-04-20,4
80518,2019-04-20,1
30004,2019-04-20,3
30084,2019-04-20,1
30004,2019-04-20,2
30084,2019-04-20,1
30004,2019-04-20,4
30084,2019-04-20,1
30004,2019-04-20,5
30084,2019-04-20,1
30004,2019-04-20,2
30084,2019-04-20,1
30004,2019-04-20,3
30084,2019-04-20,1
30004,2019-04-20,1
30084,2019-04-20,1
30004,2019-04-20,7
30084,2019-04-20,1
30004,2019-04-20,2
30084,2019-04-20,1
30004,2019-04-20,8
30084,2019-04-20,1
30004,2019-04-20,1
30084,2019-04-20,1
30004,2019-04-20,6
30084,2019-04-20,1
30004,2019-04-20,70
30084,2019-04-20,1
30004,2019-04-20,3
30084,2019-04-20,1
30004,2019-04-20,28
30084,2019-04-20,1
30004,2019-04-20,2
30084,2019-04-20,1
80518,2019-04-20,1
30084,2019-04-20,1
80518,2019-04-20,9
80518,2019-04-20,15
89648,2019-04-20,1
80518,2019-04-20,9
30084,2019-04-20,1
80518,2019-04-20,100
30084,2019-04-20,1
80518,2019-04-20,77
86558,2019-04-20,8
86518,2019-04-20,1
86558,2019-04-20,2
86518,2019-04-20,6
86558,2019-04-20,1
86518,2019-04-20,5
86558,2019-04-20,3
86518,2019-04-20,6
86558,2019-04-20,3
86518,2019-04-20,27
86558,2019-04-20,23
86518,2019-04-20,13
86558,2019-04-20,3
86518,2019-04-20,3
86558,2019-04-20,1
86518,2019-04-20,1
86558,2019-04-20,4
86518,2019-04-20,3
86558,2019-04-20,1
86518,2019-04-20,1
86558,2019-04-20,3
86518,2019-04-20,1
86558,2019-04-20,1
86518,2019-04-20,1
86558,2019-04-20,4
86518,2019-04-20,1
86558,2019-04-20,5
86518,2019-04-20,6
86558,2019-04-20,7
86518,2019-04-20,4
86558,2019-04-20,6
86518,2019-04-20,4
86558,2019-04-20,10
86518,2019-04-20,9
86558,2019-04-20,1
86518,2019-04-20,4
86558,2019-04-20,1
86518,2019-04-20,2
86528,2019-04-20,1
86518,2019-04-20,1
86528,2019-04-20,1
86558,2019-04-20,2
86528,2019-04-20,187
86528,2019-04-20,188
86568,2019-04-20,2
86558,2019-04-20,1
80628,2019-04-20,52
30084,2019-04-20,1
80628,2019-04-20,13
30084,2019-04-20,1
80628,2019-04-20,45
86558,2019-04-20,1
80628,2019-04-20,83
35448,2019-04-20,10
80628,2019-04-20,1
35448,2019-04-20,1
44438,2019-04-20,2
35448,2019-04-20,1
44438,2019-04-20,3
35448,2019-04-20,140
44438,2019-04-20,2
46006,2019-04-20,1
85056,2019-04-20,2
46006,2019-04-20,18
86558,2019-04-20,1
46006,2019-04-20,16
86558,2019-04-20,1
46006,2019-04-20,17
86558,2019-04-20,1
46006,2019-04-20,3
85056,2019-04-20,1
46006,2019-04-20,2
85056,2019-04-20,1
46006,2019-04-20,11
85056,2019-04-20,2
46006,2019-04-20,1
85056,2019-04-20,2
46006,2019-04-20,2
85056,2019-04-20,3
46006,2019-04-20,1
85056,2019-04-20,1
46006,2019-04-20,2
86558,2019-04-20,1
85056,2019-04-20,2
46006,2019-04-20,1
85056,2019-04-20,8
46006,2019-04-20,1
85056,2019-04-20,4
46006,2019-04-20,2
85056,2019-04-20,1
46006,2019-04-20,2
85056,2019-04-20,2
46006,2019-04-20,1
85056,2019-04-20,4
46006,2019-04-20,1
85056,2019-04-20,1
46006,2019-04-20,3
85056,2019-04-20,49
74776,2019-04-20,46
86558,2019-04-20,1
74776,2019-04-20,3
86558,2019-04-20,1
74776,2019-04-20,130
89728,2019-04-20,1
74776,2019-04-20,34
71148,2019-04-20,24
77778,2019-04-20,70
71168,2019-04-20,1
77778,2019-04-20,4
71148,2019-04-20,2
77778,2019-04-20,3
71148,2019-04-20,2
77778,2019-04-20,3
71168,2019-04-20,1
77778,2019-04-20,2
71148,2019-04-20,1
71168,2019-04-20,2
77778,2019-04-20,5
71168,2019-04-20,1
77778,2019-04-20,3
71168,2019-04-20,2
77778,2019-04-20,1
71148,2019-04-20,2
71168,2019-04-20,2
71148,2019-04-20,1
71168,2019-04-20,1
71148,2019-04-20,1
71168,2019-04-20,2
77778,2019-04-20,1
71168,2019-04-20,1
71148,2019-04-20,3
71168,2019-04-20,4
71148,2019-04-20,1
71168,2019-04-20,1
71148,2019-04-20,7
77778,2019-04-20,1
71148,2019-04-20,5
71168,2019-04-20,1
71148,2019-04-20,58
50578,2019-04-20,10
71148,2019-04-20,1
50578,2019-04-20,1
63058,2019-04-20,87
50578,2019-04-20,2
63058,2019-04-20,2
50578,2019-04-20,1
71148,2019-04-20,1
50578,2019-04-20,126
71148,2019-04-20,1
50578,2019-04-20,1
71148,2019-04-20,1
50578,2019-04-20,21
20818,2019-04-20,1
50578,2019-04-20,2
20818,2019-04-20,1
50578,2019-04-20,5
86558,2019-04-20,1
50578,2019-04-20,1
20818,2019-04-20,1
50578,2019-04-20,1
20818,2019-04-20,2
50578,2019-04-20,4
20818,2019-04-20,1
50578,2019-04-20,3
20818,2019-04-20,3
50578,2019-04-20,1
20818,2019-04-20,2
50578,2019-04-20,2
20818,2019-04-20,1
50578,2019-04-20,4
20818,2019-04-20,17
71168,2019-04-20,1
20818,2019-04-20,177
90508,2019-04-20,3
83828,2019-04-20,1
90508,2019-04-20,5
20818,2019-04-20,2
90508,2019-04-20,113
83828,2019-04-20,1
90508,2019-04-20,22
83918,2019-04-20,1
90508,2019-04-20,8
83918,2019-04-20,13
83828,2019-04-20,2
83918,2019-04-20,2
83828,2019-04-20,1
83918,2019-04-20,22
83828,2019-04-20,1
83918,2019-04-20,6
83828,2019-04-20,9
83918,2019-04-20,1
83828,2019-04-20,7
83918,2019-04-20,1
83828,2019-04-20,5
83918,2019-04-20,4
83828,2019-04-20,5
83918,2019-04-20,1
83828,2019-04-20,1
83918,2019-04-20,1
83828,2019-04-20,2
83918,2019-04-20,2
83828,2019-04-20,1
83918,2019-04-20,5
83828,2019-04-20,1
83918,2019-04-20,1
83828,2019-04-20,1
83918,2019-04-20,1
83828,2019-04-20,1
83918,2019-04-20,1
83828,2019-04-20,1
83918,2019-04-20,2
83828,2019-04-20,2
83918,2019-04-20,2
83828,2019-04-20,1
83918,2019-04-20,1
83828,2019-04-20,1
83918,2019-04-20,7
83828,2019-04-20,75
59598,2019-04-20,1
83828,2019-04-20,1
59598,2019-04-20,16
83828,2019-04-20,1
59598,2019-04-20,1
83828,2019-04-20,1
59598,2019-04-20,111
83828,2019-04-20,1
59598,2019-04-20,16
83848,2019-04-20,1
59598,2019-04-20,24
83848,2019-04-20,1
59598,2019-04-20,1
83848,2019-04-20,1
59598,2019-04-20,1
83848,2019-04-20,2
59598,2019-04-20,3
83848,2019-04-20,165
66134,2019-04-20,1
83848,2019-04-20,28
38058,2019-04-20,2
83848,2019-04-20,1
38058,2019-04-20,82
84358,2019-04-20,1
38058,2019-04-20,11
66134,2019-04-20,1
38058,2019-04-20,33
86938,2019-04-20,1
38058,2019-04-20,46
66124,2019-04-20,1
38058,2019-04-20,1
66124,2019-04-20,1
38058,2019-04-20,1
66124,2019-04-20,2
38058,2019-04-20,1
66124,2019-04-20,5
38058,2019-04-20,1
66134,2019-04-20,2
66124,2019-04-20,3
66184,2019-04-20,1
66134,2019-04-20,2
66184,2019-04-20,1
66174,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66134,2019-04-20,2
66124,2019-04-20,1
66134,2019-04-20,2
66124,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,2
66134,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,2
66134,2019-04-20,2
66184,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,2
66124,2019-04-20,4
66134,2019-04-20,1
66124,2019-04-20,1
66134,2019-04-20,1
66184,2019-04-20,1
66134,2019-04-20,1
66174,2019-04-20,1
66184,2019-04-20,1
66134,2019-04-20,1
66174,2019-04-20,1
66134,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66134,2019-04-20,1
66174,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,3
66134,2019-04-20,1
66124,2019-04-20,2
66174,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,5
66174,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,5
66174,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,2
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,3
66184,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,1
86938,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,2
66174,2019-04-20,1
66184,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66184,2019-04-20,2
66124,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,2
66174,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,3
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,4
66184,2019-04-20,1
66174,2019-04-20,1
66184,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,1
66184,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,3
66124,2019-04-20,3
66174,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,2
66124,2019-04-20,1
66184,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66134,2019-04-20,2
82828,2019-04-20,2
66134,2019-04-20,1
82828,2019-04-20,5
86938,2019-04-20,1
82828,2019-04-20,64
83828,2019-04-20,1
82828,2019-04-20,122
86928,2019-04-20,13
82828,2019-04-20,1
86928,2019-04-20,22
86938,2019-04-20,1
86928,2019-04-20,3
86938,2019-04-20,2
86928,2019-04-20,4
86938,2019-04-20,2
86938,2019-04-20,1
86928,2019-04-20,1
86938,2019-04-20,1
86928,2019-04-20,3
86938,2019-04-20,2
86928,2019-04-20,1
86938,2019-04-20,1
86928,2019-04-20,4
86938,2019-04-20,6
86928,2019-04-20,7
86938,2019-04-20,3
86928,2019-04-20,25
86938,2019-04-20,2
86938,2019-04-20,7
82528,2019-04-20,1
86938,2019-04-20,1
86938,2019-04-20,5
82528,2019-04-20,1
86938,2019-04-20,1
82528,2019-04-20,1
86938,2019-04-20,3
86938,2019-04-20,2
86938,2019-04-20,2
86938,2019-04-20,1
86938,2019-04-20,1
86938,2019-04-20,8
82528,2019-04-20,1
86938,2019-04-20,5
86938,2019-04-20,1
86938,2019-04-20,2
86938,2019-04-20,1
86938,2019-04-20,12
86938,2019-04-20,1
86938,2019-04-20,19
82528,2019-04-20,1
86938,2019-04-20,39
86938,2019-04-20,5
82528,2019-04-20,1
86938,2019-04-20,74
82528,2019-04-20,1
86938,2019-04-20,90
82528,2019-04-20,78
87568,2019-04-20,1
82528,2019-04-20,35
84358,2019-04-20,1
82528,2019-04-20,6
84358,2019-04-20,1
82528,2019-04-20,42
84358,2019-04-20,1
82528,2019-04-20,20
84358,2019-04-20,1
82528,2019-04-20,7
84358,2019-04-20,84
87568,2019-04-20,1
84358,2019-04-20,16
87568,2019-04-20,1
84358,2019-04-20,30
87568,2019-04-20,1
84358,2019-04-20,1
87568,2019-04-20,1
84358,2019-04-20,10
87568,2019-04-20,1
84358,2019-04-20,37
89728,2019-04-20,1
84358,2019-04-20,7
89728,2019-04-20,2
84358,2019-04-20,3
87568,2019-04-20,11
89728,2019-04-20,1
87568,2019-04-20,2
89728,2019-04-20,1
87568,2019-04-20,159
89728,2019-04-20,2
87568,2019-04-20,15
89728,2019-04-20,2
87568,2019-04-20,1
89728,2019-04-20,3
87568,2019-04-20,1
89728,2019-04-20,1
87568,2019-04-20,2
89728,2019-04-20,9
EXTRA,2019-04-20,1
89728,2019-04-20,1
EXTRA,2019-04-20,1
89728,2019-04-20,7
EXTRA,2019-04-20,1
89728,2019-04-20,4
87568,2019-04-20,1
89728,2019-04-20,31
EXTRA,2019-04-20,1
89728,2019-04-20,6
EXTRA,2019-04-20,1
89728,2019-04-20,53
EXTRA,2019-04-20,1
89728,2019-04-20,64
EXTRA,2019-04-20,1
89728,2019-04-20,11
86938,2019-04-22,105
80848,2019-04-22,1
86938,2019-04-22,43
80418,2019-04-22,1
86938,2019-04-22,45
86938,2019-04-22,193
80848,2019-04-22,23
86938,2019-04-22,1
80848,2019-04-22,171
80848,2019-04-22,21
86938,2019-04-22,1
80848,2019-04-22,147
80418,2019-04-22,1
80848,2019-04-22,27
80848,2019-04-22,8
80418,2019-04-22,1
80848,2019-04-22,10
80418,2019-04-22,1
80848,2019-04-22,112
80418,2019-04-22,1
80848,2019-04-22,63
86938,2019-04-22,1
80848,2019-04-22,1
86938,2019-04-22,2
80418,2019-04-22,182
82918,2019-04-22,3
80418,2019-04-22,2
82918,2019-04-22,2
81368,2019-04-22,1
82918,2019-04-22,13
89728,2019-04-22,1
82918,2019-04-22,27
89728,2019-04-22,1
82918,2019-04-22,25
89728,2019-04-22,1
82918,2019-04-22,122
80518,2019-04-22,63
80518,2019-04-22,1
80518,2019-04-22,51
82918,2019-04-22,2
80518,2019-04-22,3
82918,2019-04-22,1
80518,2019-04-22,3
89728,2019-04-22,1
80518,2019-04-22,62
81328,2019-04-22,1
80518,2019-04-22,3
81328,2019-04-22,1
80518,2019-04-22,2
80518,2019-04-22,1
81328,2019-04-22,1
80518,2019-04-22,1
81328,2019-04-22,1
80518,2019-04-22,9
81328,2019-04-22,25
80518,2019-04-22,1
81328,2019-04-22,110
81368,2019-04-22,1
81328,2019-04-22,41
81368,2019-04-22,2
81328,2019-04-22,1
81368,2019-04-22,1
81328,2019-04-22,4
81368,2019-04-22,2
81328,2019-04-22,2
81368,2019-04-22,1
81328,2019-04-22,14
81368,2019-04-22,4
81328,2019-04-22,3
81368,2019-04-22,1
81328,2019-04-22,2
89728,2019-04-22,1
81328,2019-04-22,1
81368,2019-04-22,2
81328,2019-04-22,3
89728,2019-04-22,1
81328,2019-04-22,12
81368,2019-04-22,2
81328,2019-04-22,16
