tattoo,date,count
81368,2019-04-22,3
81328,2019-04-22,24
81368,2019-04-22,2
81328,2019-04-22,2
81368,2019-04-22,1
81328,2019-04-22,5
89728,2019-04-22,1
81328,2019-04-22,30
81368,2019-04-22,1
81328,2019-04-22,38
81368,2019-04-22,9
80518,2019-04-22,1
81368,2019-04-22,5
80518,2019-04-22,1
84338,2019-04-22,1
80518,2019-04-22,1
80518,2019-04-22,1
80518,2019-04-22,51
15388,2019-04-22,1
80518,2019-04-22,11
80518,2019-04-22,1
80518,2019-04-22,6
80568,2019-04-22,2
80518,2019-04-22,85
15388,2019-04-22,1
80518,2019-04-22,31
15388,2019-04-22,1
80518,2019-04-22,5
84458,2019-04-22,4
84558,2019-04-22,2
84458,2019-04-22,2
84558,2019-04-22,1
84458,2019-04-22,1
84558,2019-04-22,2
84458,2019-04-22,2
84558,2019-04-22,3
84458,2019-04-22,8
84558,2019-04-22,11
84458,2019-04-22,2
84558,2019-04-22,4
84458,2019-04-22,3
84558,2019-04-22,4
84458,2019-04-22,2
84558,2019-04-22,11
84458,2019-04-22,2
84558,2019-04-22,25
84458,2019-04-22,1
84558,2019-04-22,5
84458,2019-04-22,1
84558,2019-04-22,7
84458,2019-04-22,2
84558,2019-04-22,7
84458,2019-04-22,2
84558,2019-04-22,1
84458,2019-04-22,4
84558,2019-04-22,6
84458,2019-04-22,14
15388,2019-04-22,1
84458,2019-04-22,5
84558,2019-04-22,6
84458,2019-04-22,5
84558,2019-04-22,2
84458,2019-04-22,1
84558,2019-04-22,6
84458,2019-04-22,7
84558,2019-04-22,2
84458,2019-04-22,7
89728,2019-04-22,200
89728,2019-04-22,2
80568,2019-04-22,79
80518,2019-04-22,2
80568,2019-04-22,4
80518,2019-04-22,5
80568,2019-04-22,3
80518,2019-04-22,2
80568,2019-04-22,1
80518,2019-04-22,1
80568,2019-04-22,1
80518,2019-04-22,2
80568,2019-04-22,1
80518,2019-04-22,2
80568,2019-04-22,2
80518,2019-04-22,3
80568,2019-04-22,1
80518,2019-04-22,7
80568,2019-04-22,1
80518,2019-04-22,2
80568,2019-04-22,1
80518,2019-04-22,10
80568,2019-04-22,3
80518,2019-04-22,3
80568,2019-04-22,1
80518,2019-04-22,5
80568,2019-04-22,1
80518,2019-04-22,1
80568,2019-04-22,1
80518,2019-04-22,1
80568,2019-04-22,1
80518,2019-04-22,3
80568,2019-04-22,1
80518,2019-04-22,8
80568,2019-04-22,2
80518,2019-04-22,2
80568,2019-04-22,1
80518,2019-04-22,2
80568,2019-04-22,3
80518,2019-04-22,1
80568,2019-04-22,2
80518,2019-04-22,1
80568,2019-04-22,1
80518,2019-04-22,11
82918,2019-04-22,1
80518,2019-04-22,10
82918,2019-04-22,2
80518,2019-04-22,1
82918,2019-04-22,1
80518,2019-04-22,1
82918,2019-04-22,6
15388,2019-04-22,1
82918,2019-04-22,13
15388,2019-04-22,1
82918,2019-04-22,46
80518,2019-04-22,1
82918,2019-04-22,53
25168,2019-04-22,1
82918,2019-04-22,38
25168,2019-04-22,1
82918,2019-04-22,37
84338,2019-04-22,48
25168,2019-04-22,1
84338,2019-04-22,151
84338,2019-04-22,2
89728,2019-04-22,114
25168,2019-04-22,1
89728,2019-04-22,43
25168,2019-04-22,1
89728,2019-04-22,33
84338,2019-04-22,55
66124,2019-04-22,1
84338,2019-04-22,129
80418,2019-04-22,1
84338,2019-04-22,12
84338,2019-04-22,193
83328,2019-04-22,5
84338,2019-04-22,2
25168,2019-04-22,1
84338,2019-04-22,3
83328,2019-04-22,58
25168,2019-04-22,1
83328,2019-04-22,16
83318,2019-04-22,6
83328,2019-04-22,48
25168,2019-04-22,1
83328,2019-04-22,17
25168,2019-04-22,1
15388,2019-04-22,75
25168,2019-04-22,1
15388,2019-04-22,14
25168,2019-04-22,1
15388,2019-04-22,13
25168,2019-04-22,1
15388,2019-04-22,13
25168,2019-04-22,1
15388,2019-04-22,8
25168,2019-04-22,1
15388,2019-04-22,1
25168,2019-04-22,1
15388,2019-04-22,32
25168,2019-04-22,1
15388,2019-04-22,4
25168,2019-04-22,1
15388,2019-04-22,25
65248,2019-04-22,2
15388,2019-04-22,9
65248,2019-04-22,1
25168,2019-04-22,29
65248,2019-04-22,1
25168,2019-04-22,8
65248,2019-04-22,1
25168,2019-04-22,9
65248,2019-04-22,1
83918,2019-04-22,2
25168,2019-04-22,1
65248,2019-04-22,2
25168,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,2
65248,2019-04-22,1
25168,2019-04-22,2
83918,2019-04-22,1
25168,2019-04-22,16
83918,2019-04-22,1
25168,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,5
83918,2019-04-22,2
25168,2019-04-22,3
83918,2019-04-22,1
25168,2019-04-22,3
83918,2019-04-22,1
25168,2019-04-22,14
83928,2019-04-22,1
25168,2019-04-22,3
83928,2019-04-22,1
25168,2019-04-22,2
83928,2019-04-22,1
25168,2019-04-22,3
83928,2019-04-22,2
25168,2019-04-22,6
65248,2019-04-22,1
83928,2019-04-22,1
65248,2019-04-22,2
83928,2019-04-22,1
25168,2019-04-22,2
83928,2019-04-22,1
25168,2019-04-22,3
65248,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,3
65248,2019-04-22,2
65248,2019-04-22,1
25168,2019-04-22,3
65248,2019-04-22,1
25168,2019-04-22,4
65248,2019-04-22,1
65248,2019-04-22,1
83928,2019-04-22,1
25168,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,2
65248,2019-04-22,4
25168,2019-04-22,1
65248,2019-04-22,5
25168,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,1
83928,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,3
83928,2019-04-22,1
65248,2019-04-22,3
25168,2019-04-22,1
83928,2019-04-22,1
25168,2019-04-22,1
65248,2019-04-22,1
25168,2019-04-22,2
83918,2019-04-22,5
83928,2019-04-22,1
83918,2019-04-22,17
83928,2019-04-22,1
83918,2019-04-22,25
83928,2019-04-22,1
83918,2019-04-22,7
83928,2019-04-22,1
83918,2019-04-22,9
83918,2019-04-22,1
83918,2019-04-22,2
83928,2019-04-22,1
83918,2019-04-22,10
83918,2019-04-22,1
83918,2019-04-22,26
83928,2019-04-22,1
83918,2019-04-22,50
83918,2019-04-22,1
83918,2019-04-22,34
83928,2019-04-22,1
83918,2019-04-22,1
83928,2019-04-22,1
83918,2019-04-22,4
83928,2019-04-22,1
83918,2019-04-22,8
83928,2019-04-22,1
83918,2019-04-22,2
83928,2019-04-22,14
83918,2019-04-22,1
83928,2019-04-22,1
83918,2019-04-22,1
83928,2019-04-22,16
83918,2019-04-22,1
83928,2019-04-22,2
83918,2019-04-22,1
83928,2019-04-22,5
83918,2019-04-22,1
83928,2019-04-22,1
83918,2019-04-22,1
83928,2019-04-22,1
83918,2019-04-22,3
83928,2019-04-22,2
83918,2019-04-22,1
83928,2019-04-22,5
83918,2019-04-22,1
83928,2019-04-22,6
83918,2019-04-22,1
83928,2019-04-22,2
83918,2019-04-22,2
83928,2019-04-22,4
83918,2019-04-22,2
83928,2019-04-22,1
83918,2019-04-22,1
83928,2019-04-22,2
83918,2019-04-22,3
83928,2019-04-22,2
83918,2019-04-22,1
83928,2019-04-22,1
83918,2019-04-22,1
66194,2019-04-22,1
83928,2019-04-22,1
83918,2019-04-22,3
83928,2019-04-22,2
83918,2019-04-22,2
66194,2019-04-22,1
83918,2019-04-22,9
66194,2019-04-22,1
83918,2019-04-22,4
83928,2019-04-22,1
83918,2019-04-22,11
70568,2019-04-22,2
83928,2019-04-22,1
83918,2019-04-22,2
70568,2019-04-22,1
83918,2019-04-22,4
83928,2019-04-22,1
83918,2019-04-22,9
83928,2019-04-22,1
83918,2019-04-22,1
83928,2019-04-22,1
70568,2019-04-22,2
83918,2019-04-22,2
70568,2019-04-22,1
83918,2019-04-22,6
83928,2019-04-22,1
83918,2019-04-22,11
83928,2019-04-22,2
83918,2019-04-22,2
70568,2019-04-22,2
83918,2019-04-22,3
83928,2019-04-22,1
65248,2019-04-22,11
65248,2019-04-22,4
83918,2019-04-22,1
65248,2019-04-22,9
70578,2019-04-22,1
65248,2019-04-22,16
83928,2019-04-22,1
65248,2019-04-22,25
83918,2019-04-22,1
65248,2019-04-22,44
83918,2019-04-22,1
65248,2019-04-22,42
13958,2019-04-22,1
65248,2019-04-22,38
70578,2019-04-22,1
65248,2019-04-22,1
70578,2019-04-22,1
65248,2019-04-22,1
70578,2019-04-22,1
65248,2019-04-22,2
70578,2019-04-22,1
65248,2019-04-22,3
70578,2019-04-22,1
66104,2019-04-22,2
66194,2019-04-22,4
66104,2019-04-22,1
66194,2019-04-22,1
66104,2019-04-22,2
66194,2019-04-22,1
66104,2019-04-22,1
66194,2019-04-22,1
66104,2019-04-22,1
66194,2019-04-22,1
66104,2019-04-22,2
66194,2019-04-22,2
66104,2019-04-22,1
66194,2019-04-22,3
66104,2019-04-22,2
66194,2019-04-22,4
66104,2019-04-22,3
66194,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,13
66194,2019-04-22,1
66104,2019-04-22,1
66194,2019-04-22,2
66104,2019-04-22,1
66194,2019-04-22,1
66104,2019-04-22,3
66194,2019-04-22,3
66104,2019-04-22,4
66194,2019-04-22,3
66104,2019-04-22,2
83918,2019-04-22,1
66104,2019-04-22,5
66194,2019-04-22,1
66104,2019-04-22,4
66194,2019-04-22,2
66104,2019-04-22,2
66194,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,1
66194,2019-04-22,1
66104,2019-04-22,8
13958,2019-04-22,1
66104,2019-04-22,4
66194,2019-04-22,1
66104,2019-04-22,1
66194,2019-04-22,1
66104,2019-04-22,3
66194,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,2
66194,2019-04-22,1
66104,2019-04-22,20
66174,2019-04-22,1
66104,2019-04-22,7
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,5
66174,2019-04-22,2
66104,2019-04-22,3
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,8
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,3
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,5
66174,2019-04-22,1
66104,2019-04-22,1
66174,2019-04-22,1
66104,2019-04-22,14
66174,2019-04-22,1
66104,2019-04-22,2
66124,2019-04-22,1
66194,2019-04-22,5
66124,2019-04-22,1
66104,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,1
66194,2019-04-22,2
66124,2019-04-22,1
66194,2019-04-22,2
66124,2019-04-22,6
66194,2019-04-22,2
66124,2019-04-22,1
13958,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,1
66194,2019-04-22,2
66124,2019-04-22,2
66194,2019-04-22,1
66124,2019-04-22,3
66194,2019-04-22,14
66124,2019-04-22,1
66184,2019-04-22,1
66194,2019-04-22,7
13958,2019-04-22,1
66194,2019-04-22,2
66124,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,2
66124,2019-04-22,1
66184,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,1
66124,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,1
66194,2019-04-22,1
66184,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66194,2019-04-22,1
66184,2019-04-22,1
66174,2019-04-22,2
66184,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66194,2019-04-22,2
66124,2019-04-22,2
66194,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66124,2019-04-22,1
66194,2019-04-22,1
66184,2019-04-22,4
66124,2019-04-22,1
66194,2019-04-22,3
66184,2019-04-22,1
66194,2019-04-22,2
66124,2019-04-22,1
66184,2019-04-22,1
66194,2019-04-22,1
66184,2019-04-22,1
66194,2019-04-22,3
66124,2019-04-22,4
66184,2019-04-22,2
66124,2019-04-22,4
66194,2019-04-22,1
66124,2019-04-22,1
66194,2019-04-22,2
13958,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,7
66194,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,2
66124,2019-04-22,1
66184,2019-04-22,2
66194,2019-04-22,1
66184,2019-04-22,3
66194,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,1
66124,2019-04-22,1
66184,2019-04-22,2
66194,2019-04-22,1
66124,2019-04-22,2
66194,2019-04-22,2
66124,2019-04-22,2
66184,2019-04-22,4
66124,2019-04-22,2
66184,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,4
66194,2019-04-22,1
66124,2019-04-22,1
66194,2019-04-22,1
66124,2019-04-22,2
66184,2019-04-22,2
66124,2019-04-22,1
66184,2019-04-22,2
66124,2019-04-22,1
66184,2019-04-22,1
66194,2019-04-22,2
70578,2019-04-22,1
66124,2019-04-22,1
70578,2019-04-22,1
66194,2019-04-22,2
70578,2019-04-22,8
70568,2019-04-22,25
13958,2019-04-22,2
70568,2019-04-22,42
13958,2019-04-22,1
70568,2019-04-22,25
86938,2019-04-22,1
70568,2019-04-22,49
86938,2019-04-22,1
70568,2019-04-22,29
20568,2019-04-22,1
70568,2019-04-22,6
82028,2019-04-22,1
70568,2019-04-22,15
70578,2019-04-22,11
82028,2019-04-22,1
70578,2019-04-22,15
82028,2019-04-22,1
70578,2019-04-22,59
70568,2019-04-22,1
70578,2019-04-22,43
82028,2019-04-22,1
70578,2019-04-22,49
13958,2019-04-22,1
70578,2019-04-22,1
13958,2019-04-22,1
82028,2019-04-22,1
70578,2019-04-22,1
13958,2019-04-22,1
70578,2019-04-22,4
13958,2019-04-22,30
70578,2019-04-22,1
13958,2019-04-22,31
82028,2019-04-22,1
13958,2019-04-22,2
82028,2019-04-22,1
13958,2019-04-22,20
82028,2019-04-22,1
13958,2019-04-22,1
82028,2019-04-22,1
13958,2019-04-22,58
82028,2019-04-22,1
13958,2019-04-22,3
47958,2019-04-22,22
13958,2019-04-22,1
47958,2019-04-22,58
77778,2019-04-22,2
47958,2019-04-22,1
77778,2019-04-22,2
47958,2019-04-22,1
77778,2019-04-22,3
13958,2019-04-22,1
47958,2019-04-22,1
77778,2019-04-22,3
47958,2019-04-22,1
77778,2019-04-22,2
13958,2019-04-22,1
77778,2019-04-22,7
47958,2019-04-22,1
77778,2019-04-22,4
47958,2019-04-22,2
77778,2019-04-22,1
47958,2019-04-22,1
77778,2019-04-22,60
82028,2019-04-22,1
77778,2019-04-22,2
82028,2019-04-22,1
77778,2019-04-22,1
82028,2019-04-22,1
77778,2019-04-22,2
82028,2019-04-22,2
77778,2019-04-22,1
86938,2019-04-22,1
86938,2019-04-22,91
82028,2019-04-22,1
86938,2019-04-22,13
82028,2019-04-22,1
86938,2019-04-22,78
82028,2019-04-22,1
86938,2019-04-22,6
82028,2019-04-22,5
86938,2019-04-22,1
82028,2019-04-22,1
20818,2019-04-22,5
82028,2019-04-22,1
82028,2019-04-22,7
82028,2019-04-22,2
82028,2019-04-22,4
82028,2019-04-22,1
82028,2019-04-22,4
82028,2019-04-22,1
82028,2019-04-22,6
82028,2019-04-22,1
82028,2019-04-22,37
82028,2019-04-22,1
82028,2019-04-22,18
82028,2019-04-22,1
82028,2019-04-22,31
82028,2019-04-22,1
82028,2019-04-22,8
82028,2019-04-22,1
82028,2019-04-22,35
82028,2019-04-22,1
82028,2019-04-22,11
82028,2019-04-22,1
82028,2019-04-22,16
81448,2019-04-22,11
82028,2019-04-22,1
81448,2019-04-22,63
81448,2019-04-22,1
81448,2019-04-22,1
82028,2019-04-22,1
81448,2019-04-22,7
81448,2019-04-22,1
81448,2019-04-22,8
82028,2019-04-22,1
81448,2019-04-22,4
81448,2019-04-22,1
81448,2019-04-22,4
82818,2019-04-22,1
81448,2019-04-22,5
82818,2019-04-22,2
81448,2019-04-22,27
82818,2019-04-22,1
81448,2019-04-22,23
82818,2019-04-22,1
81448,2019-04-22,14
82818,2019-04-22,1
81448,2019-04-22,11
20818,2019-04-22,1
81448,2019-04-22,1
20818,2019-04-22,1
20568,2019-04-22,1
81448,2019-04-22,2
81448,2019-04-22,3
20568,2019-04-22,17
81448,2019-04-22,1
20568,2019-04-22,1
82818,2019-04-22,2
20568,2019-04-22,2
20818,2019-04-22,4
20568,2019-04-22,8
20818,2019-04-22,1
82818,2019-04-22,1
20818,2019-04-22,3
20568,2019-04-22,2
20818,2019-04-22,4
20568,2019-04-22,1
20818,2019-04-22,1
20568,2019-04-22,2
20818,2019-04-22,9
20568,2019-04-22,1
20818,2019-04-22,2
20568,2019-04-22,3
20818,2019-04-22,3
20568,2019-04-22,2
20818,2019-04-22,1
20568,2019-04-22,2
20818,2019-04-22,1
20568,2019-04-22,4
20818,2019-04-22,1
82818,2019-04-22,1
20568,2019-04-22,5
20818,2019-04-22,1
20568,2019-04-22,1
20818,2019-04-22,1
20568,2019-04-22,1
20818,2019-04-22,1
20568,2019-04-22,25
20818,2019-04-22,1
20568,2019-04-22,2
82818,2019-04-22,1
20568,2019-04-22,4
20818,2019-04-22,1
20568,2019-04-22,9
20818,2019-04-22,1
20568,2019-04-22,1
20818,2019-04-22,2
82028,2019-04-22,1
20568,2019-04-22,1
20818,2019-04-22,1
20568,2019-04-22,2
20818,2019-04-22,2
20568,2019-04-22,2
82028,2019-04-22,1
20568,2019-04-22,3
20818,2019-04-22,46
82028,2019-04-22,2
20818,2019-04-22,9
82028,2019-04-22,16
82028,2019-04-22,9
82818,2019-04-22,1
82028,2019-04-22,1
82028,2019-04-22,1
82028,2019-04-22,15
82818,2019-04-22,1
82028,2019-04-22,28
82818,2019-04-22,1
82028,2019-04-22,82
82818,2019-04-22,1
82028,2019-04-22,2
82818,2019-04-22,1
82028,2019-04-22,10
82818,2019-04-22,1
82028,2019-04-22,53
82028,2019-04-22,25
82818,2019-04-22,1
82028,2019-04-22,27
82818,2019-04-22,1
82028,2019-04-22,38
82818,2019-04-22,1
82028,2019-04-22,37
82818,2019-04-22,1
82028,2019-04-22,11
82818,2019-04-22,1
82028,2019-04-22,7
82818,2019-04-22,1
82028,2019-04-22,14
82818,2019-04-22,1
82028,2019-04-22,2
82818,2019-04-22,1
82028,2019-04-22,1
82818,2019-04-22,25
82028,2019-04-22,1
82818,2019-04-22,2
82028,2019-04-22,1
82818,2019-04-22,10
82028,2019-04-22,1
82818,2019-04-22,6
82028,2019-04-22,2
82818,2019-04-22,66
89148,2019-04-22,6
82028,2019-04-22,1
81448,2019-04-22,11
82818,2019-04-22,1
81448,2019-04-22,2
85348,2019-04-22,2
89148,2019-04-22,25
81448,2019-04-22,1
89148,2019-04-22,12
81448,2019-04-22,1
89148,2019-04-22,7
85348,2019-04-22,1
89148,2019-04-22,5
85348,2019-04-22,1
89148,2019-04-22,5
85348,2019-04-22,1
89148,2019-04-22,2
85348,2019-04-22,1
89148,2019-04-22,1
85348,2019-04-22,1
89148,2019-04-22,1
85348,2019-04-22,2
89148,2019-04-22,6
85348,2019-04-22,1
89148,2019-04-22,12
85348,2019-04-22,1
89148,2019-04-22,17
81448,2019-04-22,1
89148,2019-04-22,11
81448,2019-04-22,1
89148,2019-04-22,12
85348,2019-04-22,1
89148,2019-04-22,4
81448,2019-04-22,1
89148,2019-04-22,4
81448,2019-04-22,2
89148,2019-04-22,1
81448,2019-04-22,1
89148,2019-04-22,1
81448,2019-04-22,1
89148,2019-04-22,1
81448,2019-04-22,1
89148,2019-04-22,4
81448,2019-04-22,2
89148,2019-04-22,6
81448,2019-04-22,1
89148,2019-04-22,1
81448,2019-04-22,1
85348,2019-04-22,1
81448,2019-04-22,2
89148,2019-04-22,1
81448,2019-04-22,1
89148,2019-04-22,2
81448,2019-04-22,1
89148,2019-04-22,1
81448,2019-04-22,1
89148,2019-04-22,2
81448,2019-04-22,1
89148,2019-04-22,3
81448,2019-04-22,3
89148,2019-04-22,1
85348,2019-04-22,7
81448,2019-04-22,1
85348,2019-04-22,4
85398,2019-04-22,1
85348,2019-04-22,3
85398,2019-04-22,2
85348,2019-04-22,5
85398,2019-04-22,1
85348,2019-04-22,1
85398,2019-04-22,1
85348,2019-04-22,9
85398,2019-04-22,1
85348,2019-04-22,1
85398,2019-04-22,2
85348,2019-04-22,5
85398,2019-04-22,1
85348,2019-04-22,3
85398,2019-04-22,1
85348,2019-04-22,1
85398,2019-04-22,1
85348,2019-04-22,4
85398,2019-04-22,1
85348,2019-04-22,1
85398,2019-04-22,1
85348,2019-04-22,9
85398,2019-04-22,1
85348,2019-04-22,2
85398,2019-04-22,1
85348,2019-04-22,4
85398,2019-04-22,1
EXTRA,2019-04-22,1
85348,2019-04-22,6
EXTRA,2019-04-22,1
85348,2019-04-22,2
EXTRA,2019-04-22,1
85348,2019-04-22,11
EXTRA,2019-04-22,1
85348,2019-04-22,6
EXTRA,2019-04-22,3
85348,2019-04-22,1
85398,2019-04-22,1
EXTRA,2019-04-22,1
85348,2019-04-22,1
EXTRA,2019-04-22,1
85348,2019-04-22,10
85398,2019-04-22,1
85348,2019-04-22,12
EXTRA,2019-04-22,1
85348,2019-04-22,19
EXTRA,2019-04-22,1
85348,2019-04-22,16
EXTRA,2019-04-22,1
85348,2019-04-22,2
EXTRA,2019-04-22,1
85348,2019-04-22,18
